record_id,country_code,country_name,region,income_level,date,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,pollution_index,multi_disease_burden,healthcare_gap,air_quality_level
82,20,21,3,0,2016-07-24,37.09,-95.71,331,-0.65,0.59,33.1,0,0,0,68.7,87.0,64.4,42.5,4.4,19.6,0.0,83.6,65533.0,72.5,100.0,5976.900000000001,130.9,1.5657894736842106,Moderate
83,20,21,3,0,2016-07-31,37.09,-95.71,331,3.57,0.0,66.0,0,0,0,73.1,126.0,83.8,33.2,1.6,26.7,0.0,82.3,65533.0,71.5,96.0,9210.599999999999,145.29999999999998,1.7654921020656134,Unhealthy for Sensitive Groups
84,20,21,3,0,2016-08-07,37.09,-95.71,331,-1.38,0.19,68.6,0,0,0,86.6,137.0,73.5,35.8,8.6,12.4,0.0,86.6,65639.0,73.5,98.3,11864.199999999999,130.29999999999998,1.5046189376443417,Unhealthy for Sensitive Groups
85,20,21,3,0,2016-08-14,37.09,-95.71,331,-3.07,0.1,47.1,0,0,0,51.0,60.0,50.9,38.5,2.5,13.5,0.0,87.4,65639.0,66.8,93.1,3060.0,105.4,1.205949656750572,Moderate
86,20,21,3,0,2016-08-21,37.09,-95.71,331,-1.4,-0.31,116.6,0,0,0,61.2,87.0,43.4,39.9,0.8,10.3,0.0,84.2,65639.0,82.2,100.0,5324.400000000001,94.39999999999999,1.1211401425178147,Moderate
87,20,21,3,0,2016-08-28,37.09,-95.71,331,-2.79,0.46,69.0,0,0,0,53.2,81.0,65.3,28.5,4.2,10.0,0.0,83.0,65639.0,65.1,94.2,4309.2,108.0,1.3012048192771084,Moderate
88,20,21,3,0,2016-09-04,37.09,-95.71,331,-1.66,0.49,0.0,0,0,0,44.9,44.0,62.1,31.7,2.1,21.3,0.4,79.7,65745.0,71.1,100.0,1975.6,117.19999999999999,1.4705144291091592,Good
89,20,21,3,0,2016-09-11,37.09,-95.71,331,-2.01,-0.0,24.7,0,0,0,56.7,87.0,72.4,30.2,5.1,15.0,0.0,78.8,65745.0,63.0,100.0,4932.900000000001,122.7,1.5571065989847717,Moderate
90,20,21,3,0,2016-09-18,37.09,-95.71,331,-6.44,-0.32,67.7,0,0,0,39.1,77.0,55.0,29.8,2.5,29.2,0.0,83.7,65745.0,71.5,100.0,3010.7000000000003,116.5,1.3918757467144562,Moderate
91,20,21,3,0,2016-09-25,37.09,-95.71,331,-5.56,-0.03,41.4,0,0,0,48.0,87.0,86.5,27.1,0.9,18.1,0.0,87.5,65745.0,66.0,100.0,4176.0,132.6,1.5154285714285713,Moderate
92,20,21,3,0,2016-10-02,37.09,-95.71,331,-6.32,0.32,88.9,0,0,0,32.7,46.0,54.0,26.5,3.1,12.4,0.0,77.8,65851.0,66.2,100.0,1504.2,96.0,1.2339331619537275,Good
93,20,21,3,0,2016-10-09,37.09,-95.71,331,-4.45,0.45,0.0,0,0,0,69.4,114.0,90.3,31.0,10.2,19.0,0.0,79.7,65851.0,65.0,100.0,7911.6,150.5,1.8883312421580927,Unhealthy for Sensitive Groups
94,20,21,3,0,2016-10-16,37.09,-95.71,331,-4.74,0.83,32.4,0,0,0,86.4,111.0,70.6,27.1,5.2,22.4,0.0,83.2,65851.0,76.1,96.0,9590.400000000001,125.29999999999998,1.5060096153846152,Unhealthy for Sensitive Groups
95,20,21,3,0,2016-10-23,37.09,-95.71,331,-5.64,0.22,58.3,0,0,0,62.9,78.0,60.0,27.6,4.3,18.9,0.0,89.0,65851.0,65.8,91.7,4906.2,110.79999999999998,1.244943820224719,Moderate
96,20,21,3,0,2016-10-30,37.09,-95.71,331,-6.42,0.45,46.2,0,0,0,57.0,86.0,63.3,34.6,3.7,24.3,0.0,81.8,65851.0,73.0,97.2,4902.0,125.9,1.5391198044009782,Moderate
97,20,21,3,0,2016-11-06,37.09,-95.71,331,-6.0,-0.14,16.8,0,0,0,89.5,150.0,81.6,29.2,7.5,25.5,0.0,79.3,65956.0,70.1,93.2,13425.0,143.8,1.8133669609079448,Unhealthy for Sensitive Groups
98,20,21,3,0,2016-11-13,37.09,-95.71,331,-3.62,-0.27,45.4,0,0,0,52.3,86.0,65.0,31.1,5.2,8.6,0.0,84.3,65956.0,69.3,93.7,4497.8,109.89999999999999,1.3036773428232502,Moderate
99,20,21,3,0,2016-11-20,37.09,-95.71,331,0.76,0.65,48.2,0,0,0,87.6,134.0,72.9,30.2,4.1,16.6,0.0,83.8,65956.0,70.8,99.8,11738.4,123.80000000000001,1.4773269689737472,Unhealthy for Sensitive Groups
100,20,21,3,0,2016-11-27,37.09,-95.71,331,0.86,0.51,13.9,0,0,0,31.1,44.0,58.0,37.5,3.5,12.6,2.3,84.8,65956.0,68.4,100.0,1368.4,111.6,1.3160377358490565,Good
101,20,21,3,0,2016-12-04,37.09,-95.71,331,-0.74,-0.05,50.9,0,0,0,49.4,87.0,56.9,30.3,1.6,13.5,0.0,78.9,66062.0,60.2,100.0,4297.8,102.3,1.2965779467680607,Moderate
102,20,21,3,0,2016-12-11,37.09,-95.71,331,0.14,0.62,41.3,0,0,0,0.0,7.0,41.3,21.7,5.9,19.5,0.5,81.3,66062.0,64.4,91.8,0.0,88.4,1.0873308733087332,Good
103,20,21,3,0,2016-12-18,37.09,-95.71,331,0.97,0.5,114.1,0,0,0,67.5,105.0,78.3,29.3,5.5,12.5,0.0,81.8,66062.0,70.4,100.0,7087.5,125.6,1.5354523227383863,Unhealthy for Sensitive Groups
104,20,21,3,0,2016-12-25,37.09,-95.71,331,2.28,0.16,62.9,0,0,0,27.4,61.0,48.4,24.2,7.0,24.3,0.0,80.4,66062.0,67.8,100.0,1671.3999999999999,103.89999999999999,1.2922885572139302,Moderate
105,20,21,3,0,2017-01-01,37.09,-95.71,331,1.36,0.48,98.9,0,0,0,73.0,91.0,66.9,33.8,2.2,21.7,3.4,86.9,66168.0,67.1,99.9,6643.0,124.60000000000001,1.433831990794016,Moderate
106,20,21,3,0,2017-01-08,37.09,-95.71,331,7.48,0.41,103.3,0,0,0,18.0,32.0,61.0,31.0,3.2,12.1,0.8,82.9,66168.0,60.3,100.0,576.0,107.3,1.2943305186972254,Good
107,20,21,3,0,2017-01-15,37.09,-95.71,331,3.86,-0.12,96.5,0,0,0,36.6,35.0,70.1,30.9,5.8,22.7,0.0,85.2,66168.0,76.1,99.0,1281.0,129.5,1.5199530516431925,Good
108,20,21,3,0,2017-01-22,37.09,-95.71,331,7.21,-0.48,109.9,0,0,0,46.2,70.0,62.9,27.2,7.4,21.4,9.1,84.7,66168.0,62.5,100.0,3234.0,118.9,1.4037780401416766,Moderate
109,20,21,3,0,2017-01-29,37.09,-95.71,331,11.22,0.58,42.2,0,0,0,53.5,92.0,69.9,39.3,7.0,17.8,10.8,80.7,66168.0,69.0,95.5,4922.0,134.0,1.6604708798017347,Moderate
110,20,21,3,0,2017-02-05,37.09,-95.71,331,8.61,0.88,115.1,1,0,1,66.9,91.0,70.7,36.0,2.6,21.7,19.1,81.2,66274.0,71.6,95.3,6087.900000000001,131.0,1.6133004926108374,Moderate
111,20,21,3,0,2017-02-12,37.09,-95.71,331,9.63,-0.14,158.8,1,0,1,18.3,53.0,50.0,36.6,3.3,19.4,17.6,82.9,66274.0,80.6,98.3,969.9000000000001,109.29999999999998,1.3184559710494568,Moderate
112,20,21,3,0,2017-02-19,37.09,-95.71,331,7.48,0.97,166.9,0,0,0,52.2,87.0,73.4,32.1,2.5,18.5,8.6,85.4,66274.0,67.7,100.0,4541.400000000001,126.5,1.481264637002342,Moderate
113,20,21,3,0,2017-02-26,37.09,-95.71,331,9.62,0.78,79.0,0,0,0,39.4,46.0,60.5,36.3,0.9,19.5,16.6,81.4,66274.0,79.3,94.4,1812.3999999999999,117.2,1.4398034398034398,Good
114,20,21,3,0,2017-03-05,37.09,-95.71,331,10.45,0.62,106.6,0,0,0,85.8,152.0,70.9,27.5,5.4,9.7,17.0,77.7,66380.0,69.3,97.4,13041.6,113.50000000000001,1.4607464607464609,Unhealthy
116,20,21,3,0,2017-03-19,37.09,-95.71,331,9.44,0.22,122.6,0,0,0,33.0,46.0,51.1,27.0,4.3,20.3,17.9,81.7,66380.0,66.0,100.0,1518.0,102.69999999999999,1.2570379436964503,Good
117,20,21,3,0,2017-03-26,37.09,-95.71,331,10.7,-0.33,47.0,0,0,0,72.7,113.0,72.7,31.9,5.3,18.0,12.9,79.2,66380.0,74.4,95.2,8215.1,127.89999999999999,1.6148989898989898,Unhealthy for Sensitive Groups
119,20,21,3,0,2017-04-09,37.09,-95.71,331,9.07,0.09,87.5,0,0,0,0.0,7.0,70.1,39.3,1.9,14.9,13.0,80.5,66486.0,77.0,100.0,0.0,126.2,1.5677018633540374,Good
120,20,21,3,0,2017-04-16,37.09,-95.71,331,10.42,-0.27,136.8,0,0,0,20.6,17.0,57.4,36.8,6.0,17.2,13.9,82.3,66486.0,62.2,100.0,350.20000000000005,117.39999999999999,1.4264884568651275,Good
123,20,21,3,0,2017-05-07,37.09,-95.71,331,7.2,0.26,107.0,0,0,0,63.2,113.0,94.9,34.2,6.0,19.5,7.1,83.0,66592.0,71.7,98.3,7141.6,154.60000000000002,1.8626506024096388,Unhealthy for Sensitive Groups
124,20,21,3,0,2017-05-14,37.09,-95.71,331,11.36,-0.45,143.8,0,0,0,27.1,60.0,57.2,16.5,3.5,23.5,20.0,81.3,66592.0,65.8,96.9,1626.0,100.7,1.2386223862238623,Moderate
125,20,21,3,0,2017-05-21,37.09,-95.71,331,6.71,-0.97,129.1,0,0,0,65.6,76.0,82.1,24.7,8.7,18.7,8.6,86.1,66592.0,71.9,95.8,4985.599999999999,134.2,1.5586527293844368,Moderate
126,20,21,3,0,2017-05-28,37.09,-95.71,331,5.03,-0.15,118.1,0,0,0,23.6,47.0,70.9,34.3,0.0,19.1,9.7,84.5,66592.0,63.4,100.0,1109.2,124.30000000000001,1.4710059171597634,Good
127,20,21,3,0,2017-06-04,37.09,-95.71,331,4.02,0.47,106.4,0,0,0,55.0,68.0,68.0,23.8,0.0,19.2,8.0,81.9,66698.0,71.3,99.4,3740.0,111.0,1.3553113553113552,Moderate
128,20,21,3,0,2017-06-11,37.09,-95.71,331,3.68,-0.06,106.5,0,0,0,27.8,53.0,60.3,31.3,7.7,15.9,5.2,80.6,66698.0,68.1,100.0,1473.4,115.2,1.4292803970223327,Moderate
129,20,21,3,0,2017-06-18,37.09,-95.71,331,2.82,0.1,32.7,0,0,0,46.1,45.0,71.6,35.7,2.4,20.6,4.6,84.7,66698.0,74.5,100.0,2074.5,130.3,1.538370720188902,Good
131,20,21,3,0,2017-07-02,37.09,-95.71,331,5.68,-0.12,106.2,0,0,0,44.5,98.0,52.2,35.5,10.2,13.4,9.8,81.7,66803.0,65.2,99.9,4361.0,111.30000000000001,1.3623011015911874,Moderate
132,20,21,3,0,2017-07-09,37.09,-95.71,331,-3.04,0.26,79.2,0,0,0,81.1,131.0,97.3,31.9,4.7,17.6,0.0,76.3,66803.0,59.0,98.6,10624.099999999999,151.49999999999997,1.985583224115334,Unhealthy for Sensitive Groups
